full_name,tag_slug
Teguh Bharata Adji,data-mining
Teguh Bharata Adji,computer-vision
Sri Suning Kusumawardani,e-learning
Sri Suning Kusumawardani,machine-learning
Sri Suning Kusumawardani,deep-learning
Sri Suning Kusumawardani,human-computer-interaction
Sri Suning Kusumawardani,database
Sri Suning Kusumawardani,artificial-intelligence
Silmi Fauziati,machine-learning
Silmi Fauziati,nlp
Silmi Fauziati,artificial-intelligence
Silmi Fauziati,deep-learning
Silmi Fauziati,immersive-technology
Silmi Fauziati,ux
Selo,iot
Selo,computer-networks
Selo,machine-learning
Selo,smart-city
Selo,data-mining
Selo,cybersecurity
F. Danang Wijaya,deep-learning
F. Danang Wijaya,machine-learning
F. Danang Wijaya,artificial-intelligence
F. Danang Wijaya,automation
F. Danang Wijaya,data-mining
F. Danang Wijaya,iot
Warsun Najib,iot
Warsun Najib,database
Warsun Najib,computer-networks
Warsun Najib,cybersecurity
Warsun Najib,e-learning
Warsun Najib,human-computer-interaction
Addin Suwastono,iot
Addin Suwastono,automation
Addin Suwastono,computer-networks
Addin Suwastono,database
Addin Suwastono,machine-learning
Addin Suwastono,data-mining
Sarjiya,artificial-intelligence
Sarjiya,deep-learning
Sarjiya,iot
Sarjiya,machine-learning
Sarjiya,data-mining
Sarjiya,automation
Dani Adhipta,cybersecurity
Dani Adhipta,database
Dani Adhipta,computer-networks
Dani Adhipta,mobile-app
Dani Adhipta,machine-learning
Dani Adhipta,deep-learning
Widyawan,deep-learning
Widyawan,iot
Widyawan,machine-learning
Widyawan,computer-networks
Widyawan,nlp
Widyawan,cybersecurity
Eka Firmansyah,automation
Eka Firmansyah,iot
Eka Firmansyah,deep-learning
Eka Firmansyah,artificial-intelligence
Eka Firmansyah,computer-networks
Eka Firmansyah,immersive-technology
Hanung Adi Nugroho,machine-learning
Hanung Adi Nugroho,deep-learning
Hanung Adi Nugroho,computer-vision
Hanung Adi Nugroho,database
Hanung Adi Nugroho,data-mining
Hanung Adi Nugroho,artificial-intelligence
Indriana Hidayah,machine-learning
Indriana Hidayah,e-learning
Indriana Hidayah,deep-learning
Indriana Hidayah,artificial-intelligence
Indriana Hidayah,ux
Indriana Hidayah,nlp
Bimo Sunarfri Hantono,machine-learning
Bimo Sunarfri Hantono,immersive-technology
Bimo Sunarfri Hantono,nlp
Bimo Sunarfri Hantono,deep-learning
Bimo Sunarfri Hantono,data-mining
Bimo Sunarfri Hantono,cybersecurity
M. Nur Rizal,iot
M. Nur Rizal,computer-networks
M. Nur Rizal,deep-learning
M. Nur Rizal,machine-learning
M. Nur Rizal,blockchain
M. Nur Rizal,e-learning
Harry Prabowo,automation
Harry Prabowo,machine-learning
Avrin Nur Widiastuti,deep-learning
Avrin Nur Widiastuti,artificial-intelligence
Avrin Nur Widiastuti,automation
Avrin Nur Widiastuti,cybersecurity
Avrin Nur Widiastuti,machine-learning
Indah Soesanti,deep-learning
Indah Soesanti,machine-learning
Indah Soesanti,computer-vision
Indah Soesanti,artificial-intelligence
Indah Soesanti,data-mining
Indah Soesanti,nlp
Adhistya Erna Permanasari,machine-learning
Adhistya Erna Permanasari,artificial-intelligence
Adhistya Erna Permanasari,deep-learning
Adhistya Erna Permanasari,nlp
Adhistya Erna Permanasari,immersive-technology
Adhistya Erna Permanasari,e-learning
Noor Akhmad Setiawan,machine-learning
Noor Akhmad Setiawan,deep-learning
Noor Akhmad Setiawan,data-mining
Noor Akhmad Setiawan,artificial-intelligence
Noor Akhmad Setiawan,database
Noor Akhmad Setiawan,nlp
Ridi Ferdiana,machine-learning
Ridi Ferdiana,e-learning
Ridi Ferdiana,software-engineering
Ridi Ferdiana,ux
Ridi Ferdiana,deep-learning
Ridi Ferdiana,nlp
Enas Dhuhri Kusuma,iot
Enas Dhuhri Kusuma,database
Enas Dhuhri Kusuma,automation
Enas Dhuhri Kusuma,ui
Sigit Basuki Wibowo,machine-learning
Sigit Basuki Wibowo,iot
Sigit Basuki Wibowo,computer-networks
Sigit Basuki Wibowo,automation
Sigit Basuki Wibowo,deep-learning
Sigit Basuki Wibowo,data-mining
Adha Imam Cahyadi,automation
Adha Imam Cahyadi,artificial-intelligence
Adha Imam Cahyadi,deep-learning
Adha Imam Cahyadi,machine-learning
Adha Imam Cahyadi,iot
Adha Imam Cahyadi,immersive-technology
