row_ref,full_name,academic_title,sinta_id,scopus_author_id,orcid_id,google_scholar_id,google_scholar_url,openalex_author_id,openalex_resolution_method,google_scholar_resolution_method,semantic_scholar_id,semantic_scholar_resolution_method
dosen_source.csv:27,M. Nur Rizal,"S.T., M.Eng., Ph.D",6019753,55553742689,,ntnGlecAAAAJ,https://scholar.google.co.id/citations?user=ntnGlecAAAAJ&hl=en,https://openalex.org/A5084814678,name_search,error,104226410,name_search
dosen_source.csv:28,Harry Prabowo,"S.T., M.T",6019210,57190533670,0000-0002-8398-3529,N5cE-DUAAAAJ,https://scholar.google.co.id/citations?user=N5cE-DUAAAAJ&hl=en,https://openalex.org/A5054866692,orcid,error,,error
dosen_source.csv:29,Avrin Nur Widiastuti,"Ir., S.T., M.Eng., IPM",6010067,56429469800,,K3i-Yv0AAAAJ,https://scholar.google.com/citations?hl=en&user=K3i-Yv0AAAAJ,https://openalex.org/A5027476681,name_search,error,96041232,name_search
dosen_source.csv:30,Indah Soesanti,"Dr., S.T., M.T",42982,55963326800,0000-0003-2004-0600,Mn3jtVgAAAAJ,https://scholar.google.co.id/citations?user=Mn3jtVgAAAAJ&hl=en,https://openalex.org/A5052020601,orcid,error,9149246,name_search
dosen_source.csv:31,Adhistya Erna Permanasari,"Ir., S.T., M.T., Ph.D., IPM",257869,25825391000,0000-0002-2663-4074,cF2rHw4AAAAJ,https://scholar.google.co.id/citations?user=cF2rHw4AAAAJ&hl=en,https://openalex.org/A5017253539,orcid,error,2102253111,name_search
dosen_source.csv:32,Noor Akhmad Setiawan,"Ir., S.T., M.T., Ph.D., IPM",43050,57215833019,0000-0002-5631-1073,dvwTk_IAAAAJ,https://scholar.google.co.id/citations?user=dvwTk_IAAAAJ&hl=en,https://openalex.org/A5017890989,orcid,error,9181413,orcid
dosen_source.csv:33,Rr. Eny Sukani Rahayu,"S.T., M.Eng",6022328,57195683054,,bgAPubsAAAAJ&hl,https://scholar.google.com/citations?user=bgAPubsAAAAJ&hl=id,,not_found,error,2104596065,name_search
dosen_source.csv:34,Ridi Ferdiana,"Prof., Dr., Ir., S.T., M.T., IPM",44333,49663102500,,6JpHP3wAAAAJ,https://scholar.google.co.id/citations?user=RF0czQwAAAAJ&hl=en,https://openalex.org/A5075764001,name_search,error,2306771,name_search
dosen_source.csv:35,Enas Dhuhri Kusuma,"S.T., M.Eng",6039133,36608334700,0000-0003-1659-0132,56aJrmkAAAAJ,https://scholar.google.com/citations?hl=en&user=56aJrmkAAAAJ,https://openalex.org/A5004438235,orcid,error,,error
dosen_source.csv:36,Sigit Basuki Wibowo,"Ir., S.T., M.Eng., Ph.D., IPM",6023242,36783783200,,q56WPYoAAAAJ,https://scholar.google.com/citations?hl=en&user=q56WPYoAAAAJ,https://openalex.org/A5109264048,name_search,error,2067010586,name_search
dosen_source.csv:37,Adha Imam Cahyadi,"Ir., S.T., M.Eng., D.Eng., IPM",5985664,16549109100,0000-0002-9825-2630,oo5VUl8AAAAJ&hl,https://scholar.google.com/citations?hl=en&user=oo5VUl8AAAAJ&hl,https://openalex.org/A5078355696,orcid,error,2297969513,name_search
dosen_source.csv:38,Iswandi,"S.T., M.Eng",6010390,56516823500,0000-0003-4685-3474,dHnl08MAAAAJ,https://scholar.google.co.id/citations?user=dHnl08MAAAAJ&hl=en,https://openalex.org/A5052420172,orcid,error,,error
dosen_source.csv:39,Prapto Nugroho,"Ir., S.T., M.Eng., D.Eng., IPM",5982109,37072942800,0000-0002-4221-239X,X6-0JR4AAAAJ,https://scholar.google.co.id/citations?user=X6-0JR4AAAAJ&hl=en,https://openalex.org/A5079183155,name_search,error,66670934,name_search
dosen_source.csv:40,I Wayan Mustika,"Dr., S.T., M.Eng",260348,36185944100,0000-0002-0207-261X,7tsVRI0AAAAJ,https://scholar.google.co.id/citations?user=7tsVRI0AAAAJ&hl=en,https://openalex.org/A5006571377,orcid,error,,error
dosen_source.csv:41,Yusuf Susilo Wijoyo,"Dr., S.T., M.Eng",5994598,57190815128,,-rgGIOAAAAAJ,https://scholar.google.co.id/citations?user=-rgGIOAAAAAJ&hl=en,https://openalex.org/A5064799996,name_search,error,3411338,name_search
dosen_source.csv:42,Sunu Wibirama,"Dr.Eng., Ir., S.T., M.Eng., IPM",44334,26654457700,0000-0001-9613-7017,xQI5ar8AAAAJ&hl,https://scholar.google.co.id/citations?user=xQI5ar8AAAAJ&hl=en,https://openalex.org/A5072951962,orcid,error,7487040,name_search
dosen_source.csv:43,Fikri Waskito,"S.T., M.Eng",6042134,41662396600,,Ur-zZNUAAAAJ,https://scholar.google.com/citations?hl=en&user=Ur-zZNUAAAAJ,https://openalex.org/A5041658253,name_search,error,2031495903,name_search
