lecturer_row_ref,publication_id
dosen_source.csv:2,ba5ee9df-1ac6-4729-954f-838fd8d27206
dosen_source.csv:2,532a585f-62b0-4b47-beb6-1bcca19e29b2
dosen_source.csv:2,67ccadc3-9806-49af-a3ba-98c82eb44bec
dosen_source.csv:2,bff20aeb-8fac-42aa-9a90-3885e01ebe21
dosen_source.csv:2,b320c866-e0a1-46fd-b089-cc5d826a7c3a
dosen_source.csv:2,9432e4dc-1626-471a-9aa8-312d8a93e3c9
dosen_source.csv:2,731d3abd-f66b-4fd2-b9ae-dc76accd616b
dosen_source.csv:2,03a4d993-d83c-4dad-bc96-f516003737a4
dosen_source.csv:2,65ff9315-dfe6-4498-a5f6-797bbf054517
dosen_source.csv:2,97a06a0b-49c3-4be0-a2e1-c2f3b7a7e200
dosen_source.csv:2,695d3154-4f28-4bbc-8c62-e07c89792e67
dosen_source.csv:2,f0c03749-0488-476e-a624-35aef3f228db
dosen_source.csv:2,d350bb1e-cedc-48d9-957e-11e1246db69c
dosen_source.csv:2,608fad61-404a-44b6-bd9c-b7addb60446b
dosen_source.csv:2,43b6bdd3-081b-40e6-8623-e54f9be3f160
dosen_source.csv:2,0973912d-b2e2-4b1d-8015-4d62eaf998bf
dosen_source.csv:2,2be613eb-8d48-4825-aa51-c7bcc0ea5704
dosen_source.csv:2,81173cf8-ec3d-434e-a16d-100ce1adb113
dosen_source.csv:2,7190217b-120d-495f-adbd-bb3628da1a80
dosen_source.csv:2,666c5947-1bb8-4c0d-9834-5446bb040e42
dosen_source.csv:2,45016b17-deec-41e0-b8eb-533c9ca0814e
dosen_source.csv:2,4b6e776d-6927-41e9-9549-61143de7d9e1
dosen_source.csv:2,8d9dffcf-f1f1-4b60-9468-7459e5c1322d
dosen_source.csv:2,d6939ba4-3162-4c39-9eae-d690bf36a64a
dosen_source.csv:2,c53f9ab8-409b-45a7-8cd4-20f289d460cb
dosen_source.csv:2,a2b97ab6-94ba-42b9-8f0b-2abc7872dda7
dosen_source.csv:2,3cefeea8-4546-4b39-8177-da68e5cc967b
dosen_source.csv:2,aeb1f7b3-ed83-4a47-930c-e22a88cf1b99
dosen_source.csv:2,b6de4537-0278-45ff-92f0-07a96fe9bddb
dosen_source.csv:2,6126acf7-4b11-488d-9b0d-f6911b44e7ce
dosen_source.csv:2,8cc56f05-dcb0-42d8-9945-734278122740
dosen_source.csv:2,7e15e583-0d1f-4127-bc46-6d6c1e315b35
dosen_source.csv:2,aba548af-2b2a-47c5-84a2-f0545fb77937
dosen_source.csv:2,7b850c9e-1815-4972-bd13-4980c960d1be
dosen_source.csv:2,2b250bf4-5e81-4b70-8a25-a666a9ed5b43
dosen_source.csv:2,776fffb1-1d50-44bc-83fd-7be89d051c31
dosen_source.csv:2,144f6960-1f35-4e5e-853a-4ba0c8b94296
dosen_source.csv:2,aa25fd96-3da7-43da-8c5f-2f40f2ebe4f5
dosen_source.csv:2,605d3da5-2932-4553-b2b0-b0df9f208e01
dosen_source.csv:2,a926fba7-2487-4257-90b3-0346c73cb353
dosen_source.csv:2,8c8b2261-f8f3-49df-8ff7-ded775708c5d
dosen_source.csv:2,6ca9c7b2-b30a-4de1-a415-640e53cecbe9
dosen_source.csv:2,eb7259be-f72e-4fb3-9be1-76d00dfe0b9c
dosen_source.csv:2,050df155-c3ab-4988-8b31-b58e43b7e46c
dosen_source.csv:2,c0b8c999-f466-47a1-90a3-16678b572fac
dosen_source.csv:2,b4e76f73-dc78-4b03-a191-9cadcfe9d9e2
dosen_source.csv:2,06e84914-bc97-4de1-9095-dd38148a3dc5
dosen_source.csv:2,343e0197-a0c0-4923-8533-840b966deb08
dosen_source.csv:2,793074a3-a0a8-4c53-93ca-1c9a2609d878
dosen_source.csv:2,b0ce79f1-d6ef-40c9-9022-2db7244c1bbb
dosen_source.csv:2,7c501c34-a48f-44a7-ac01-42ad55861745
dosen_source.csv:2,aa287d53-b9d1-4f89-8ec0-4b822243dcf4
dosen_source.csv:2,cb7663fa-5c87-40de-ba22-9b7e13350926
dosen_source.csv:2,649962da-6559-4f8c-bbea-6969988995d6
dosen_source.csv:2,db08fa0c-bcd2-4565-9249-e58381161000
dosen_source.csv:2,d80b5b7c-ecc0-4fbc-8033-9e1411ae1691
dosen_source.csv:2,bd434861-b2e7-4c13-8a54-55d87ae902bd
dosen_source.csv:2,e1b2c578-ec09-45d4-a866-bdda9fa59511
dosen_source.csv:2,3d6bc8dd-3665-4978-83fc-146c8f61095a
dosen_source.csv:2,e9e8df88-f57e-4d51-9267-5836a993eb11
dosen_source.csv:2,1984b0bf-bc42-4a09-8969-448fafddefcc
dosen_source.csv:2,b07d12c8-aa77-4076-85e3-bcfeedafd06a
dosen_source.csv:2,ea4df885-3dc2-41dd-9418-421977139a22
dosen_source.csv:2,b1775c11-87d9-419a-8afc-d730c3ac5f26
dosen_source.csv:2,e18986bf-3610-411a-919a-58caddc49460
dosen_source.csv:2,7a71e9e6-1c66-45fd-847c-37b182710281
dosen_source.csv:2,7a979920-05af-4471-9a2e-eed01edf6e62
dosen_source.csv:2,8dccde02-07ff-48b9-b1d4-cc41b13bae07
dosen_source.csv:2,3b87c81e-5461-463d-80b6-66f762189c0a
dosen_source.csv:2,db6c0b65-348e-4c61-84f3-f9008c4893d0
dosen_source.csv:2,18625e6f-fa09-43de-bd41-cba0ab963727
dosen_source.csv:2,3082de77-05ae-497c-b6c2-2e02a2eef3d4
dosen_source.csv:2,2f4baecb-87ad-4a40-8020-b1342e5784a5
dosen_source.csv:2,1e2cec82-642c-4912-870e-215ecd97a04b
dosen_source.csv:2,ae9a3005-8c05-4df0-a7e5-8b16863c0839
